Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
206,Zoka,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,town,2890,1352.27,218.13,38.55,59.39,1588,4°C,Reykjavik (Iceland),,,,,,,,{t1:azure;charges:[{charge:rose;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zoka&population=2890&size=19&seed=7742447050206&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
207,Birch Pily,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,3326,776.78,235.07,35.95,-28.87,13,9°C,Copenhagen (Denmark),,port,,,,,,{t1:argent;charges:[{charge:dolphin;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Birch+Pily&population=3326&size=20&seed=7742447050207&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.97
208,Piltove,,,Crown,Crown Provines,Crown,No religion,village,1376,1716.65,241.57,34.95,115.28,30,9°C,Copenhagen (Denmark),,port,,,,,,{t1:purpure;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:roundel;t:purpure;p:ABCDEFGHIJKL;size:0.18};{charge:angel;t:argent;p:e;size:1.1}];shield:heater},https://watabou.github.io/village-generator/?pop=1376&name=Piltove&seed=7742447050208&width=1400&height=683&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
209,Holydenga,,,Bakuna,Bakuna's Territories,Crown,Shwazen Beliefs,city,11901,66.34,270.81,30.47,-137.83,30,12°C,Paris (France),,port,,walls,,,,{t1:potent-azure-or;division:{division:gyronny;t:argent};ordinaries:[{ordinary:pale;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Holydenga&population=11901&size=33&seed=7742447050209&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.25
210,Old Bay,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,13462,481.93,257.76,32.47,-74.09,1063,10°C,London (England),,,,walls,,,,{t1:gules;division:{division:perBend;t:argent;line:straight};charges:[{charge:billet;t:or;p:lm;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Old+Bay&population=13462&size=35&seed=7742447050210&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
211,Port Trory,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2727,1293.42,262.67,31.72,50.37,1312,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Port+Trory&population=2727&size=19&seed=7742447050211&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
212,Pese,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,city,11768,1718.8,263.5,31.59,115.61,30,12°C,Paris (France),,,,,,,,{t1:sable;ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:eagle;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pese&population=11768&size=33&seed=7742447050212&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
213,Zomuselte,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,village,1315,1749.05,273.53,30.05,120.25,52,15°C,Rome (Italy),,port,,,,,,{t1:or;charges:[{charge:boat;t:sable;p:jln;t2:sable;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1315&name=Zomuselte&seed=7742447050213&width=1400&height=683&style=default&tags=coast%2Chighway%2Cfarmland%2Cno+square%2Cdense
214,Uhonahati,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,2228,34.21,315.93,23.55,-142.75,30,19°C,Marrakesh (Morocco),,port,,,,,,{t1:azure;charges:[{charge:caravel;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Uhonahati&population=2228&size=18&seed=7742447050214&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.01
215,Vonakati,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,village,1975,221.25,307.37,24.86,-114.07,840,17°C,Lisbon (Portugal),,port,,,,,,{t1:or;charges:[{charge:millstone;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1975&name=Vonakati&seed=7742447050215&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
216,Quivogentyl,,,Bakuna,Bakuna's Territories,Crown,Shwazen Beliefs,town,9405,230.32,305.59,25.14,-112.68,1063,17°C,Lisbon (Portugal),,,,,,,,{t1:barry-argent-sable;charges:[{charge:angel;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quivogentyl&population=9405&size=30&seed=7742447050216&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
217,Glamale,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,2745,1752.85,300.3,25.95,120.83,52,19°C,Marrakesh (Morocco),,port,,,,,,{t1:potentInPale-argent-vert;division:{division:perBend;t:bendy-or-sable;line:straight};ordinaries:[{ordinary:saltire;t:azure;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Glamale&population=2745&size=19&seed=7742447050217&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.32
218,Bovokula,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,village,1765,177.46,351.46,18.1,-120.78,1063,24°C,Dakar (Senegal),,,,,,,,{t1:or;division:{division:perFess;t:purpure;line:dovetailed};charges:[{charge:bridge;t:vert;p:k;size:0.7};{charge:crossDouble;t:argent;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1765&name=Bovokula&seed=7742447050218&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
219,Glaledar,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,9501,1431.87,369.06,15.4,71.6,2051,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:or;charges:[{charge:scissors;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Glaledar&population=9501&size=30&seed=7742447050219&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
220,Nor Utat,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,2024,335.38,388.37,12.44,-96.56,1890,23°C,Rio de Janeiro (Brazil),,,,walls,,,,{t1:plumetty-purpure-argent;division:{division:perPale;t:barry-or-sable;line:straight};ordinaries:[{ordinary:pale;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Nor+Utat&population=2024&size=17&seed=7742447050220&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
221,Ximin,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,5097,351.65,420.24,7.55,-94.07,1588,25°C,Miami (USA),,,,,,,,{t1:gules;ordinaries:[{ordinary:pileInBend;t:or}];shield:heater},https://watabou.github.io/city-generator/?name=Ximin&population=5097&size=24&seed=7742447050221&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
222,Giltoft,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,city,15808,1074.15,419.79,7.62,16.74,30,28°C,Bangkok (Thailand),,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:straight}];charges:[{charge:anchor;t:argent;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Giltoft&population=15808&size=37&seed=7742447050222&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
223,Szasza,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2954,1444.45,445.04,3.75,73.53,6943,15°C,Rome (Italy),,,,,,,,{t1:argent;ordinaries:[{ordinary:point;t:vert}];charges:[{charge:wolfPassant;t:vert;p:def;t2:vert;t3:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Szasza&population=2954&size=20&seed=7742447050223&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
224,Rorhyt,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2800,1755.18,454.38,2.32,121.19,13,29°C,Niamey (Niger),,,,,,,,{t1:vert;division:{division:perChevron;t:argent;line:rayonne};shield:heater},https://watabou.github.io/city-generator/?name=Rorhyt&population=2800&size=19&seed=7742447050224&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
225,Handentylow,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,17760,432.4,535.04,-10.05,-81.68,328,27°C,Mogadishu (Somalia),,,citadel,walls,,,,{t1:vert;division:{division:perPale;t:or;line:enclavy};charges:[{charge:boat;t:argent;p:p;t2:argent;size:0.7};{charge:crown;t:sable;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Handentylow&population=17760&size=38&seed=7742447050225&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
226,Adawaydalemu,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,10320,533.91,539.19,-10.69,-66.12,52,28°C,Bangkok (Thailand),,port,,,,,,{t1:or;charges:[{charge:unicornRampant;t:purpure;p:jln;t2:purpure;t3:sable;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Adawaydalemu&population=10320&size=31&seed=7742447050226&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.35
227,Gaszia,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,21099,1751.22,606.32,-20.98,120.58,30,27°C,Mogadishu (Somalia),,port,citadel,walls,,temple,,{t1:purpure;ordinaries:[{ordinary:pallReversed;t:argent}];charges:[{charge:caravel;t:or;p:acz;t2:or;t3:or;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Gaszia&population=21099&size=41&seed=7742447050227&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural&sea=1.88
228,Zisia,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1432,544.9,626.04,-24.01,-64.43,30,23°C,Rio de Janeiro (Brazil),,,,walls,,,,{t1:fretty-argent-gules;ordinaries:[{ordinary:cross;t:sable;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=1432&name=Zisia&seed=7742447050228&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
229,Zisagend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,11896,1447.77,619.7,-23.03,74.04,554,22°C,Guangzhou (China),,,,walls,,,,{t1:or;ordinaries:[{ordinary:cross;t:sable;line:straight}];charges:[{charge:bookClosed;t:argent;p:behdf;t2:argent;t3:argent;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Zisagend&population=11896&size=33&seed=7742447050229&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
230,Galpengalo,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1282,1690.53,644.14,-26.78,111.27,13,22°C,Guangzhou (China),,port,citadel,,,,,{t1:or;charges:[{charge:cinquefoil;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1282&name=Galpengalo&seed=7742447050230&width=1400&height=683&style=default&tags=estuary%2Chighway%2Cno+square%2Cdense
231,Szahelstead,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,5796,1587.71,651.29,-27.88,95.5,328,19°C,Marrakesh (Morocco),,,,walls,,,,{t1:barry-argent-azure;charges:[{charge:sabre2;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Szahelstead&population=5796&size=25&seed=7742447050231&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
232,Zinis Tro,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1598,441.25,705.13,-36.13,-80.33,1736,8°C,Prague (Czechia),,,,,,,,{t1:azure;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:roundel;t:purpure;p:ABCDEFGHIJKL;size:0.18};{charge:tree;t:argent;p:e;size:1.1}];shield:heater},https://watabou.github.io/village-generator/?pop=1598&name=Zinis+Tro&seed=7742447050232&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
233,Hesthen,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1621,574.23,747.66,-42.66,-59.93,397,5°C,Harbin (China),,,,,,,,{t1:purpure;ordinaries:[{ordinary:gore;t:argent}];charges:[{charge:shipWheel;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1621&name=Hesthen&seed=7742447050233&width=1600&height=780&style=snow&tags=dead+end%2Cno+square%2Cdense
234,Juava,,,Crown,Crown Provines,Crown,No religion,town,4231,1748.2,177.7,44.75,120.12,13,0°C,Murmansk (Russia),,,citadel,,,,,{t1:vert;ordinaries:[{ordinary:fessDoubleCotissed;t:argent;line:engrailed}];charges:[{charge:archer;t:purpure;p:def;t2:purpure;t3:or;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Juava&population=4231&size=22&seed=7742447050234&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
235,Denilesia,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8595,459.2,193.69,42.3,-77.57,210,4°C,Reykjavik (Iceland),,,,,,,,{t1:argent;charges:[{charge:garb;t:or;p:def;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Denilesia&population=8595&size=29&seed=7742447050235&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
236,Hantiag,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1533,1046.22,233.25,36.23,12.46,30,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:cross;t:gules;line:nebuly}];shield:heater},https://watabou.github.io/village-generator/?pop=1533&name=Hantiag&seed=7742447050236&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
237,Brashila'de,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,3878,1632.31,249.17,33.79,102.34,738,10°C,London (England),,,,,,,,{t1:argent;charges:[{charge:crossCeltic2;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Brashila%27de&population=3878&size=22&seed=7742447050237&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
238,Modialeniza,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8900,555.76,272.81,30.16,-62.76,210,15°C,Rome (Italy),,port,citadel,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:wavy}];charges:[{charge:escallop;t:sable;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Modialeniza&population=8900&size=30&seed=7742447050238&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
239,Zan Pilola,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,5971,1156.5,291.41,27.31,29.37,210,17°C,Lisbon (Portugal),,,,,,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zan+Pilola&population=5971&size=25&seed=7742447050239&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
240,Barin,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1642,1634.82,304.39,25.32,102.73,210,19°C,Marrakesh (Morocco),,port,,,,,,{t1:semy_of_sun-azure-argent;charges:[{charge:snake;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1642&name=Barin&seed=7742447050240&width=1600&height=780&style=default&tags=coast%2Chighway%2Cfarmland%2Cno+square%2Cdense
241,South Gily,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,9027,750.07,336.32,20.42,-32.96,52,22°C,Guangzhou (China),,port,,,,,,{t1:azure;charges:[{charge:garb;t:or;p:abc;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=South+Gily&population=9027&size=30&seed=7742447050241&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.43
242,Tholl,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,4160,543.33,337.5,20.24,-64.67,1890,20°C,Alexandria (Egypt),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:gore;t:azure}];charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tholl&population=4160&size=22&seed=7742447050242&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
243,Bagarorga'ko,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,8086,613.22,341.66,19.6,-53.95,52,24°C,Dakar (Senegal),,,,,,,,{t1:gules;charges:[{charge:bridge2;t:argent;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bagarorga%27ko&population=8086&size=29&seed=7742447050243&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
244,Mes Harory,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,9769,1254.37,348.74,18.52,44.38,1312,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:argent;division:{division:perPale;t:sable;line:straight};charges:[{charge:talbotPassant;t:azure;p:e;t2:azure;t3:azure;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mes+Harory&population=9769&size=31&seed=7742447050244&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
245,Kolahelszaro,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,22566,1609.79,346.02,18.94,98.89,2572,19°C,Marrakesh (Morocco),,,,walls,,temple,,{t1:gules;ordinaries:[{ordinary:terrace;t:or;line:straight}];charges:[{charge:fusil;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kolahelszaro&population=22566&size=42&seed=7742447050245&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural
246,Xans Trolat,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4440,1782.02,357.38,17.19,125.3,52,27°C,Mogadishu (Somalia),,port,,,,,,{t1:argent;charges:[{charge:drakkar;t:sable;p:e;t2:sable;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xans+Trolat&population=4440&size=23&seed=7742447050246&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.33
247,Jula,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,8063,156.74,405.68,9.79,-123.96,397,27°C,Mogadishu (Somalia),,,citadel,,,,,{t1:purpure;charges:[{charge:anvil;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jula&population=8063&size=29&seed=7742447050247&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
248,Voudiaga'ko,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3211,1126.7,423.5,7.05,24.8,948,26°C,Jakarta (Indonesia),,,,,,,,{t1:vert;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:pale;t:or;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Voudiaga%27ko&population=3211&size=20&seed=7742447050248&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
249,Brasquire,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1475,1614.55,475.04,-0.85,99.62,82,29°C,Niamey (Niger),,,,walls,,,,{t1:or;division:{division:gyronny;t:azure};charges:[{charge:pegasus;t:sable;p:e;t2:sable;t3:sable;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1475&name=Brasquire&seed=7742447050249&width=1400&height=683&style=default&tags=estuary%2Cdead+end%2Cno+orchards%2Cno+square%2Cpalisade%2Cdense
250,Biltoft,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7806,1457.09,556.07,-13.28,75.47,1063,25°C,Miami (USA),,,,,,,,{t1:argent;charges:[{charge:salmon;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Biltoft&population=7806&size=28&seed=7742447050250&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
251,Gam,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4994,980.8,626.6,-24.09,2.42,30,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;charges:[{charge:key;t:gules;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Gam&population=4994&size=24&seed=7742447050251&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
252,Demusel,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,2663,1676.92,646.82,-27.19,109.19,52,22°C,Guangzhou (China),,port,,,,,,{t1:or;ordinaries:[{ordinary:pale;t:azure;line:engrailed}];charges:[{charge:crossHummetty;t:azure;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Demusel&population=2663&size=19&seed=7742447050252&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.73
253,Piltoft,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1676,435.67,648.57,-27.46,-81.18,1063,18°C,Barcelona (Spain),,,citadel,,,,,{t1:sable;charges:[{charge:wolfStatant;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1676&name=Piltoft&seed=7742447050253&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
254,Hearkavgar,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1550,1559.15,647.95,-27.37,91.12,643,19°C,Marrakesh (Morocco),,,citadel,,,,,{t1:sable;charges:[{charge:bridge2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1550&name=Hearkavgar&seed=7742447050254&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cfarmland%2Cno+square%2Cdense
255,Fod's End,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,11694,559.45,725.43,-39.25,-62.2,554,9°C,Copenhagen (Denmark),,,,,,,,{t1:or;division:{division:perCross;t:vert;line:straight};charges:[{charge:mascle;t:gules;p:j;size:0.6};{charge:skeleton;t:argent;p:l;size:0.6};{charge:bugleHorn2;t:or;p:m;size:0.6};{charge:badgerStatant;t:purpure;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Fod%27s+End&population=11694&size=33&seed=7742447050255&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
256,Jual's Haga,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,12829,631.25,719.39,-38.32,-51.19,397,9°C,Copenhagen (Denmark),,,,,,,,{t1:sable;ordinaries:[{ordinary:cross;t:or;line:wavy}];charges:[{charge:scrollClosed;t:gules;p:e;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jual%27s+Haga&population=12829&size=34&seed=7742447050256&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
257,Thanathrola,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1183,1417.44,740.26,-41.52,69.39,472,7°C,Montreal (Canada),,port,,,,,,{t1:gules;charges:[{charge:lanceWithBanner;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1183&name=Thanathrola&seed=7742447050257&width=1400&height=683&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
258,Honialasquit,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7179,1549.58,755.44,-43.85,89.66,30,6°C,Stockholm (Sweden),,port,,walls,,,,{t1:gules;ordinaries:[{ordinary:point;t:argent}];charges:[{charge:lyre;t:argent;p:bdf;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Honialasquit&population=7179&size=27&seed=7742447050258&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.99
